,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
9,9,2024-12-30,2011-12-25,,,,f,1,4,t,t,59.34283,18.0493,Entire loft,Entire home/apt,1,1.0,1 bath,1.0,1.0,$900.00,80,180,80,80,180,180,t,27,57,87,177,2024-12-30,51,0,0,2012-06-04,2019-09-26,4.9,4.92,4.8,4.92,4.94,4.92,4.73,,f,1,1,0,0
11,11,2024-12-30,2011-06-26,within an hour,100%,100%,f,1,3,t,t,59.24656,18.17775,Entire guesthouse,Entire home/apt,1,1.0,1 bath,1.0,1.0,$360.00,1,1125,1,1,1125,1125,t,27,57,87,177,2024-12-30,25,6,1,2012-05-08,2024-12-03,4.19,4.08,4.17,4.54,4.63,4.17,4.0,,f,1,1,0,0
20,20,2024-12-30,2012-06-25,within an hour,100%,100%,f,1,1,t,t,59.34171,18.03712,Entire loft,Entire home/apt,3,1.5,1.5 baths,0.0,2.0,"$1,000.00",4,50,3,5,50,50,t,8,8,8,8,2024-12-30,43,2,0,2015-05-14,2024-01-15,4.63,4.7,4.47,4.7,4.74,4.91,4.47,,f,1,1,0,0
31,31,2024-12-30,2012-10-24,within an hour,100%,0%,f,1,1,t,t,59.34353,18.05081,Entire loft,Entire home/apt,2,1.0,1 bath,1.0,1.0,"$1,800.00",5,15,5,5,15,15,t,0,0,0,27,2024-12-30,20,0,0,2013-02-26,2018-10-09,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
44,44,2024-12-30,2013-01-31,within a few hours,100%,98%,f,2,2,t,t,59.27977,17.89568,Entire guesthouse,Entire home/apt,4,1.0,1 bath,1.0,1.0,$790.00,3,365,3,3,1125,1125,t,0,0,29,276,2024-12-30,338,10,0,2013-03-25,2024-11-15,4.47,4.62,4.63,4.8,4.81,4.41,4.56,,f,2,2,0,0
50,50,2024-12-30,2013-04-28,,,67%,f,1,1,t,t,59.31793,18.03252,Entire loft,Entire home/apt,3,1.0,1 bath,2.0,1.0,"$2,300.00",5,55,5,5,55,55,t,5,5,5,5,2024-12-30,17,4,0,2017-09-06,2024-08-02,4.94,4.88,4.65,4.88,4.94,4.88,4.88,,f,1,1,0,0
88,88,2024-12-30,2013-09-09,within an hour,100%,99%,f,2,4,t,t,59.31311,18.08324,Entire loft,Entire home/apt,3,1.0,1 bath,1.0,2.0,"$1,543.00",3,40,2,3,40,40,t,24,27,27,27,2024-12-30,220,77,4,2014-11-03,2024-12-28,4.94,4.94,4.94,4.87,4.9,4.93,4.89,,f,1,1,0,0
120,120,2024-12-30,2013-08-06,within an hour,100%,99%,t,3,3,t,t,59.33761,18.10043,Entire loft,Entire home/apt,2,1.0,1 bath,1.0,1.0,$630.00,3,45,3,3,1125,1125,t,10,19,33,91,2024-12-30,407,36,1,2015-02-03,2024-12-15,4.81,4.9,4.81,4.94,4.83,4.83,4.78,,f,1,1,0,0
175,175,2024-12-30,2012-06-03,,,100%,f,1,1,t,t,59.31826,18.03141,Entire loft,Entire home/apt,8,1.5,1.5 baths,4.0,5.0,"$3,999.00",8,60,8,8,60,60,t,4,12,15,89,2024-12-30,29,2,0,2015-01-03,2024-08-06,5.0,4.97,5.0,4.93,5.0,4.93,4.86,,f,1,1,0,0
179,179,2024-12-30,2014-08-19,a few days or more,0%,0%,f,1,1,t,t,59.34229,18.03599,Entire loft,Entire home/apt,5,1.5,1.5 baths,3.0,3.0,"$4,000.00",5,31,5,5,31,31,t,27,57,87,362,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
