,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
269,269,2024-12-30,2022-07-26,,,,f,1,1,t,t,59.31905,17.98854,Entire condo,Entire home/apt,4,2.0,2 baths,3.0,3.0,"$3,500.00",5,21,5,5,21,21,t,0,0,0,100,2024-12-30,8,6,0,2022-07-30,2024-08-07,4.88,4.63,4.5,4.88,5.0,4.88,4.88,,f,1,1,0,0
1123,1123,2024-12-30,2020-08-15,,,,f,29,37,t,t,59.30150604248047,18.106176376342773,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,$858.00,2,1125,2,3,99,99,t,0,0,0,0,2024-12-30,1174,134,15,2019-01-06,2024-12-27,4.5,4.68,4.57,4.81,4.54,4.37,4.46,,t,22,22,0,0
1124,1124,2024-12-30,2020-08-15,,,,f,29,37,t,t,59.30150985717773,18.10618019104004,Entire serviced apartment,Entire home/apt,4,1.0,1 bath,1.0,1.0,$925.00,2,1125,2,3,99,99,t,28,58,88,363,2024-12-30,333,44,2,2018-12-25,2024-12-22,4.5,4.67,4.45,4.74,4.53,4.4,4.44,,t,22,22,0,0
1128,1128,2024-12-30,2020-08-15,,,,f,29,37,t,t,59.30150604248047,18.106176376342773,Entire rental unit,Entire home/apt,4,1.0,1 bath,0.0,1.0,"$1,111.00",2,1125,2,3,99,99,t,28,58,88,363,2024-12-30,101,11,0,2019-01-27,2024-08-25,4.49,4.62,4.46,4.73,4.43,4.37,4.44,,t,22,22,0,0
1129,1129,2024-12-30,2020-08-15,,,,f,29,37,t,t,59.30150604248047,18.106176376342773,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,"$1,344.00",2,1125,2,3,99,99,t,26,56,84,359,2024-12-30,113,29,2,2019-01-13,2024-12-15,4.52,4.68,4.47,4.86,4.53,4.49,4.45,,t,22,22,0,0
1135,1135,2024-12-30,2020-08-15,,,,f,29,37,t,t,59.28055,18.01409,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,$825.00,2,1125,2,3,99,99,t,29,59,89,364,2024-12-30,72,29,2,2020-03-01,2024-12-03,4.53,4.51,4.46,4.81,4.6,4.49,4.4,,t,22,22,0,0
1136,1136,2024-12-30,2020-08-15,,,,f,29,37,t,t,59.28055,18.01409,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,$945.00,2,1125,2,3,99,99,t,28,58,86,361,2024-12-30,95,30,2,2019-01-27,2024-12-08,4.55,4.75,4.58,4.89,4.71,4.64,4.56,,t,22,22,0,0
1137,1137,2024-12-30,2020-08-15,,,,f,29,37,t,t,59.28055,18.01409,Entire rental unit,Entire home/apt,2,1.0,1 bath,0.0,1.0,$752.00,2,1125,2,3,99,99,t,29,59,89,364,2024-12-30,563,153,6,2019-02-19,2024-12-23,4.63,4.72,4.57,4.78,4.53,4.55,4.58,,t,22,22,0,0
1138,1138,2024-12-30,2020-08-15,,,,f,29,37,t,t,59.32492,18.06846,Entire rental unit,Entire home/apt,4,1.5,1.5 baths,1.0,1.0,"$2,514.00",2,1125,2,3,99,99,t,14,33,54,327,2024-12-30,107,22,3,2019-02-18,2024-12-20,4.47,4.44,4.62,4.77,4.64,4.89,4.36,,t,22,22,0,0
1139,1139,2024-12-30,2020-08-15,,,,f,29,37,t,t,59.32492,18.06846,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"$2,263.00",2,1125,2,3,99,99,t,15,36,58,304,2024-12-30,101,19,2,2019-02-26,2024-12-16,4.5,4.55,4.61,4.76,4.58,4.87,4.46,,t,22,22,0,0
1140,1140,2024-12-30,2020-08-15,,,,f,29,37,t,t,59.32492,18.06846,Entire rental unit,Entire home/apt,5,1.0,1 bath,1.0,1.0,"$2,632.00",2,1125,2,3,99,99,t,10,23,46,299,2024-12-30,103,23,0,2019-01-20,2024-11-24,4.63,4.66,4.72,4.84,4.66,4.83,4.67,,t,22,22,0,0
1142,1142,2024-12-30,2020-08-15,,,,f,29,37,t,t,59.32429,18.07049,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"$1,967.00",2,1125,2,3,99,99,t,7,17,41,284,2024-12-30,68,5,0,2019-01-20,2024-07-21,4.5,4.51,4.38,4.91,4.57,4.93,4.35,,t,22,22,0,0
1143,1143,2024-12-30,2020-08-15,,,,f,29,37,t,t,59.32429,18.07049,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"$1,967.00",2,1125,2,3,99,99,t,10,25,48,294,2024-12-30,83,27,2,2019-01-19,2024-12-24,4.39,4.67,4.35,4.77,4.46,4.92,4.39,,t,22,22,0,0
1144,1144,2024-12-30,2020-08-15,,,,f,29,37,t,t,59.32429,18.07049,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,2.0,"$2,159.00",2,1125,2,3,99,99,t,17,34,53,315,2024-12-30,83,26,1,2019-03-29,2024-12-07,4.52,4.61,4.59,4.77,4.46,4.87,4.37,,t,22,22,0,0
1511,1511,2024-12-30,2020-01-04,,,,f,2,2,t,f,59.33261,18.04901,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,,2,1125,2,2,1125,1125,,0,0,0,0,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
1521,1521,2024-12-30,2020-01-15,,,,f,1,1,t,t,59.36458,17.80272,Entire home,Entire home/apt,10,,1.5 baths,4.0,,,7,1125,7,7,1125,1125,t,0,0,0,0,2024-12-30,4,0,0,2020-07-20,2022-07-21,4.75,4.75,4.75,5.0,5.0,5.0,4.75,,f,1,1,0,0
1522,1522,2024-12-30,2020-01-15,,,30%,f,1,1,t,t,59.28779,18.09189,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,$600.00,2,365,2,2,365,365,t,29,59,89,269,2024-12-30,3,3,0,2024-05-18,2024-06-26,4.0,4.33,4.33,4.67,4.67,4.67,4.67,,f,1,0,1,0
1526,1526,2024-12-30,2020-01-18,within an hour,100%,100%,f,1,3,t,t,59.34663,18.07032,Entire rental unit,Entire home/apt,6,2.5,2.5 baths,3.0,3.0,"$2,120.00",3,1125,3,3,1125,1125,t,8,8,8,8,2024-12-30,30,1,0,2020-02-17,2024-01-04,4.83,4.63,4.83,4.83,4.83,4.87,4.77,,f,1,1,0,0
1529,1529,2024-12-30,2020-01-18,within an hour,100%,100%,t,1,1,t,t,59.38386,17.92379,Entire guesthouse,Entire home/apt,2,1.5,1.5 baths,0.0,1.0,$400.00,1,7,1,1,7,7,t,10,17,38,62,2024-12-30,180,42,4,2020-03-08,2024-12-15,4.95,4.96,4.89,4.99,4.98,4.66,4.97,,t,1,1,0,0
1532,1532,2024-12-30,2020-01-21,,,,f,1,1,t,f,59.38088,17.83881,Private room in rental unit,Private room,1,1.0,1 bath,1.0,,$200.00,180,1125,180,180,1125,1125,t,30,60,90,365,2024-12-30,0,0,0,,,,,,,,,,,t,1,0,1,0
