,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
0,0,2024-12-30,2011-07-06,within an hour,100%,100%,t,2,2,t,t,59.31389,18.06087,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,2.0,$944.00,2,120,2,2,120,120,t,27,57,87,177,2024-12-30,430,30,1,2011-07-30,2024-12-09,4.86,4.87,4.79,4.95,4.97,4.84,4.76,,f,2,0,2,0
1,1,2024-12-30,2011-02-27,within a day,100%,15%,f,2,4,t,t,59.33351,18.03693,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,$414.00,2,20,2,2,20,20,t,25,55,85,360,2024-12-30,64,1,0,2011-09-29,2024-08-30,4.68,4.7,4.63,4.87,4.88,4.81,4.7,,f,2,1,1,0
2,2,2024-12-30,2011-10-05,within a few hours,100%,0%,f,1,1,t,t,59.33872,18.05131,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,"$1,320.00",1,60,1,1,60,60,t,28,58,88,88,2024-12-30,110,0,0,2011-11-28,2016-12-13,4.79,4.65,4.71,4.85,4.95,4.85,4.64,,f,1,1,0,0
3,3,2024-12-30,2011-07-06,within an hour,100%,100%,t,2,2,t,t,59.31198,18.06076,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,$814.00,2,300,2,2,300,300,t,30,60,90,180,2024-12-30,414,24,1,2012-02-13,2024-12-01,4.9,4.88,4.84,4.96,4.98,4.89,4.84,,f,2,0,2,0
4,4,2024-12-30,2011-11-22,within a few hours,100%,100%,f,3,3,t,t,59.30543,18.10771,Entire rental unit,Entire home/apt,4,2.0,2 baths,3.0,3.0,"$2,750.00",6,30,6,6,30,30,t,2,2,2,9,2024-12-30,4,0,0,2012-07-19,2017-07-31,5.0,5.0,5.0,5.0,4.75,5.0,5.0,,f,2,2,0,0
5,5,2024-12-30,2011-12-28,within a few hours,100%,98%,t,1,1,t,t,59.31846,18.07042,Entire rental unit,Entire home/apt,4,1.0,1 bath,0.0,2.0,"$1,190.00",2,30,2,2,1125,1125,t,0,0,0,165,2024-12-30,665,41,0,2013-06-16,2024-10-03,4.66,4.76,4.38,4.92,4.95,4.96,4.58,,f,1,1,0,0
6,6,2024-12-30,2011-10-22,within an hour,100%,100%,f,1,20,t,t,59.30318,17.99521,Entire rental unit,Entire home/apt,4,,1.5 baths,1.0,,,3,1125,3,3,1125,1125,t,17,35,35,236,2024-12-30,68,10,0,2012-02-21,2024-09-21,4.47,4.38,4.4,4.67,4.71,4.38,4.42,,t,1,1,0,0
7,7,2024-12-30,2012-01-01,within a few hours,67%,56%,f,2,2,t,t,59.27635,17.99165,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,$750.00,1,1125,1,1,1125,1125,t,30,60,90,365,2024-12-30,38,5,0,2012-07-09,2024-11-06,4.63,4.49,4.7,4.7,4.59,4.46,4.59,,f,2,1,1,0
8,8,2024-12-30,2012-01-02,within a day,100%,41%,f,2,3,t,t,59.34685,18.06056,Entire rental unit,Entire home/apt,4,1.5,1.5 baths,3.0,4.0,"$4,300.00",5,60,5,5,60,60,t,27,56,82,325,2024-12-30,97,5,0,2012-06-18,2024-09-03,4.97,4.92,4.8,4.97,4.98,4.98,4.87,,f,1,1,0,0
11,11,2024-12-30,2011-06-26,within an hour,100%,100%,f,1,3,t,t,59.24656,18.17775,Entire guesthouse,Entire home/apt,1,1.0,1 bath,1.0,1.0,$360.00,1,1125,1,1,1125,1125,t,27,57,87,177,2024-12-30,25,6,1,2012-05-08,2024-12-03,4.19,4.08,4.17,4.54,4.63,4.17,4.0,,f,1,1,0,0
13,13,2024-12-30,2011-08-03,within an hour,100%,89%,t,3,23,t,t,59.26424,18.02277,Private room in townhouse,Private room,1,2.0,2 shared baths,1.0,1.0,$350.00,1,150,1,1,150,150,t,30,60,90,365,2024-12-30,44,11,0,2012-06-01,2024-11-25,4.75,4.73,4.86,4.93,4.95,4.61,4.66,,f,3,1,1,1
14,14,2024-12-30,2012-04-23,within an hour,100%,100%,f,1,1,t,t,59.31041093355452,18.02404045094815,Private room in rental unit,Private room,1,,1 shared bath,,,,3,25,3,3,25,25,t,0,0,0,0,2024-12-30,100,0,0,2012-05-10,2023-11-18,4.64,4.77,4.58,4.84,4.85,4.66,4.5,,f,1,0,1,0
20,20,2024-12-30,2012-06-25,within an hour,100%,100%,f,1,1,t,t,59.34171,18.03712,Entire loft,Entire home/apt,3,1.5,1.5 baths,0.0,2.0,"$1,000.00",4,50,3,5,50,50,t,8,8,8,8,2024-12-30,43,2,0,2015-05-14,2024-01-15,4.63,4.7,4.47,4.7,4.74,4.91,4.47,,f,1,1,0,0
21,21,2024-12-30,2012-06-26,within a few hours,80%,77%,t,5,8,t,t,59.33536,17.97669,Entire condo,Entire home/apt,4,1.0,1 bath,2.0,3.0,"$1,760.00",21,1125,21,21,1125,1125,t,0,0,7,93,2024-12-30,14,0,0,2012-07-28,2023-11-30,4.62,4.57,4.36,4.86,4.79,4.36,4.21,,f,3,3,0,0
23,23,2024-12-30,2012-06-26,within a few hours,80%,77%,t,5,8,t,t,59.33583,18.02983,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,$981.00,1,1125,1,1,1125,1125,t,28,58,82,236,2024-12-30,47,8,0,2015-10-10,2024-07-21,4.68,4.83,4.45,4.98,4.89,4.85,4.52,,f,3,3,0,0
24,24,2024-12-30,2012-07-07,within an hour,100%,100%,t,1,1,t,t,59.33894,18.0919,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,$470.00,1,30,1,1,1125,1125,t,19,22,22,22,2024-12-30,752,52,7,2012-07-15,2024-12-24,4.92,4.94,4.98,4.9,4.93,4.88,4.85,,t,1,0,1,0
25,25,2024-12-30,2012-03-02,within a few hours,100%,83%,f,1,1,t,t,59.292661,18.11225,Entire condo,Entire home/apt,4,1.0,1 bath,2.0,3.0,$552.00,14,1125,14,14,1125,1125,t,0,0,0,22,2024-12-30,12,2,0,2012-12-09,2024-08-12,5.0,5.0,4.92,5.0,5.0,4.83,4.92,,f,1,1,0,0
26,26,2024-12-30,2012-05-17,within a few hours,100%,21%,f,1,1,t,t,59.31414,18.08102,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,,2,2,2,2,2,2,t,0,0,0,0,2024-12-30,104,2,0,2012-11-19,2024-06-30,4.83,4.89,4.9,4.86,4.88,4.95,4.75,,f,1,1,0,0
27,27,2024-12-30,2012-10-21,within an hour,100%,100%,f,1,1,t,f,59.31544,18.0755,Entire condo,Entire home/apt,2,1.0,1 bath,2.0,3.0,"$1,250.00",75,270,60,75,270,270,t,5,5,5,95,2024-12-30,18,0,0,2013-08-19,2021-06-04,4.78,4.67,4.67,4.94,5.0,5.0,4.61,,f,1,1,0,0
28,28,2024-12-30,2012-10-26,within a few hours,100%,79%,f,1,1,t,t,59.32881,18.03559,Entire rental unit,Entire home/apt,4,2.0,2 baths,1.0,4.0,"$1,549.00",2,1125,2,2,1125,1125,t,18,48,74,307,2024-12-30,213,40,3,2015-12-01,2024-12-15,4.77,4.84,4.42,4.97,4.96,4.93,4.77,,f,1,1,0,0
29,29,2024-12-30,2012-09-12,within a few hours,100%,60%,t,2,2,t,t,59.34489,18.05216,Entire rental unit,Entire home/apt,4,1.0,1 bath,3.0,3.0,"$1,850.00",3,14,3,3,14,14,t,0,0,0,84,2024-12-30,102,2,0,2013-04-02,2024-08-05,4.94,4.91,4.94,4.88,4.94,4.79,4.75,,f,1,1,0,0
31,31,2024-12-30,2012-10-24,within an hour,100%,0%,f,1,1,t,t,59.34353,18.05081,Entire loft,Entire home/apt,2,1.0,1 bath,1.0,1.0,"$1,800.00",5,15,5,5,15,15,t,0,0,0,27,2024-12-30,20,0,0,2013-02-26,2018-10-09,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
32,32,2024-12-30,2012-11-13,within a day,100%,86%,f,1,1,t,t,59.32142,17.99469,Entire home,Entire home/apt,6,1.0,1 bath,3.0,6.0,"$1,700.00",5,1125,3,5,1125,1125,t,0,0,0,27,2024-12-30,28,6,0,2013-07-16,2024-08-08,4.96,4.93,5.0,4.89,4.93,4.64,4.86,,f,1,1,0,0
34,34,2024-12-30,2012-08-07,within an hour,75%,38%,f,2,2,t,t,59.33591,18.08483,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,1.0,"$2,500.00",5,200,5,5,200,200,t,30,60,90,365,2024-12-30,141,8,0,2013-04-29,2024-11-02,4.8,4.82,4.78,4.83,4.88,4.94,4.67,,f,1,1,0,0
35,35,2024-12-30,2012-12-04,within an hour,100%,75%,f,1,4,t,t,59.29788,17.98505,Entire rental unit,Entire home/apt,6,1.5,1.5 baths,2.0,3.0,"$1,843.00",3,30,3,3,30,30,t,0,6,9,9,2024-12-30,50,3,0,2013-03-26,2024-10-31,4.84,4.8,4.84,4.88,4.98,4.7,4.68,,f,1,1,0,0
36,36,2024-12-30,2012-12-11,within an hour,100%,98%,t,3,5,t,t,59.33593,18.05542,Entire rental unit,Entire home/apt,6,1.0,1 bath,1.0,6.0,"$2,626.00",1,7,1,1,7,7,t,25,42,63,274,2024-12-30,84,11,0,2016-03-13,2024-11-10,4.64,4.64,4.65,4.79,4.79,4.88,4.69,,t,3,3,0,0
37,37,2024-12-30,2012-12-12,within an hour,100%,86%,t,1,1,t,t,59.33633,18.03002,Private room in rental unit,Private room,2,1.5,1.5 shared baths,1.0,1.0,$890.00,4,5,4,4,1125,1125,t,28,58,66,323,2024-12-30,133,11,0,2013-06-17,2024-11-05,4.91,4.9,4.88,4.92,4.93,4.81,4.81,,f,1,0,1,0
38,38,2024-12-30,2012-11-17,within a few hours,100%,100%,t,2,8,t,t,59.29578,17.92813,Private room in rental unit,Private room,4,1.0,1 shared bath,1.0,3.0,$220.00,1,180,1,1,1125,1125,t,30,60,90,90,2024-12-30,52,19,0,2014-08-01,2024-10-01,4.69,4.58,4.37,4.78,4.85,4.59,4.61,,f,2,0,2,0
40,40,2024-12-30,2012-12-26,within a few hours,100%,94%,t,1,3,t,t,59.33884,18.08536,Private room in rental unit,Private room,1,1.5,1.5 baths,1.0,1.0,$740.00,3,21,3,3,21,21,t,25,28,28,28,2024-12-30,55,11,1,2013-05-07,2024-12-14,4.8,4.94,4.98,4.94,4.94,4.98,4.75,,f,1,0,1,0
41,41,2024-12-30,2011-07-05,within a day,100%,13%,f,1,1,t,t,59.307583,18.080265,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"$1,320.00",5,20,5,5,20,20,t,23,53,83,353,2024-12-30,54,1,0,2013-02-06,2024-09-09,4.83,4.8,4.65,4.9,4.94,4.92,4.69,,f,1,1,0,0
