,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
200,200,2024-12-30,2014-11-12,within an hour,100%,92%,t,1,1,t,t,59.331,18.03945,Entire rental unit,Entire home/apt,3,1.5,1.5 baths,2.0,2.0,"$1,000.00",3,1125,3,3,1125,1125,t,12,31,38,38,2024-12-30,38,14,2,2015-01-11,2024-12-22,4.79,4.79,4.66,4.76,4.82,4.84,4.59,,f,1,1,0,0
400,400,2024-12-30,2015-11-03,within a few hours,100%,82%,t,1,2,t,t,59.34045,18.08796,Entire rental unit,Entire home/apt,3,1.0,1 bath,2.0,2.0,"$4,048.00",2,1125,2,2,1125,1125,t,29,55,85,332,2024-12-30,107,20,1,2016-06-13,2024-12-15,4.83,4.74,4.86,4.94,4.94,4.93,4.7,,f,1,1,0,0
600,600,2024-12-30,2016-11-06,,,,f,1,1,t,t,59.27383,18.05761,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,,7,21,7,7,21,21,,0,0,0,0,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
800,800,2024-12-30,2014-10-17,within a few hours,100%,89%,f,2,2,t,t,59.30426,18.01442,Entire rental unit,Entire home/apt,4,,1 bath,1.0,,,3,730,3,3,730,730,t,0,0,0,0,2024-12-30,45,6,1,2017-09-18,2024-12-09,4.98,4.98,5.0,4.96,5.0,4.84,4.89,,f,1,1,0,0
1000,1000,2024-12-30,2011-12-20,,,67%,f,1,2,t,t,59.33675,18.05389,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,,5,24,5,5,24,24,t,0,0,0,0,2024-12-30,11,0,0,2018-07-15,2020-03-09,5.0,4.82,5.0,4.91,5.0,5.0,4.55,,f,1,1,0,0
1200,1200,2024-12-30,2014-07-09,,,,f,1,2,t,t,59.30096,17.97879,Entire home,Entire home/apt,5,,2 baths,3.0,,,4,10,4,4,10,10,t,0,0,0,0,2024-12-30,1,0,0,2021-08-01,2021-08-01,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
1400,1400,2024-12-30,2010-04-30,,,,f,1,4,t,t,59.33346,18.08254,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,,6,13,6,6,13,13,t,0,0,0,0,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
1600,1600,2024-12-30,2020-05-24,within a few hours,100%,30%,f,2,2,f,t,59.34461,18.03719,Entire rental unit,Entire home/apt,5,1.0,1 bath,1.0,2.0,"$2,000.00",3,1125,3,3,1125,1125,t,23,53,83,83,2024-12-30,11,1,0,2021-05-16,2024-07-30,4.91,4.73,4.73,4.64,5.0,5.0,4.73,,f,1,1,0,0
1800,1800,2024-12-30,2021-05-14,within an hour,100%,100%,f,1,3,t,f,59.32185,18.07555,Private room in bed and breakfast,Private room,2,2.0,2 shared baths,1.0,2.0,$850.00,1,8,1,1,1125,1125,t,12,30,31,31,2024-12-30,26,0,0,2021-07-22,2023-09-08,4.08,3.69,3.58,4.54,4.38,4.73,4.08,,f,1,0,1,0
2000,2000,2024-12-30,2016-08-15,within an hour,100%,100%,f,7,10,t,t,59.30352,18.0006,Entire serviced apartment,Entire home/apt,4,1.0,1 bath,1.0,2.0,"$1,519.00",1,1125,1,1,1125,1125,t,30,60,90,361,2024-12-30,43,5,0,2022-02-10,2024-11-19,4.6,4.63,4.42,4.7,4.72,4.65,4.47,,t,7,7,0,0
2200,2200,2024-12-30,2013-05-02,,,83%,f,1,2,t,t,59.32314,17.98769,Entire rental unit,Entire home/apt,5,,1 bath,4.0,,,3,365,3,3,365,365,t,0,0,0,0,2024-12-30,14,3,0,2022-06-20,2024-07-29,4.93,5.0,5.0,4.86,4.93,4.93,4.79,,f,1,1,0,0
2400,2400,2024-12-30,2022-05-23,a few days or more,0%,11%,f,1,2,t,t,59.31057,18.08183,Entire condo,Entire home/apt,2,1.5,1.5 baths,0.0,1.0,$973.00,11,1125,1,11,1125,1125,t,17,47,77,351,2024-12-30,1,0,0,2022-09-30,2022-09-30,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
2600,2600,2024-12-30,2018-07-05,,,,f,2,2,t,f,59.28389828166419,17.965106744895643,Private room in rental unit,Private room,2,,1.5 shared baths,,,,2,7,2,2,7,7,t,0,0,0,0,2024-12-30,9,0,0,2023-02-06,2023-09-18,5.0,5.0,4.89,5.0,5.0,4.78,4.89,,f,2,0,2,0
2800,2800,2024-12-30,2018-10-19,within a few hours,100%,100%,f,1,2,t,t,59.33278,18.03788,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,"$1,350.00",5,96,5,5,96,96,t,12,12,12,12,2024-12-30,15,7,0,2023-07-10,2024-10-20,4.47,4.6,4.33,4.8,4.73,4.87,4.53,,f,1,1,0,0
3000,3000,2024-12-30,2015-11-13,,,,,2,2,t,t,59.301972010295366,18.006301214294442,Private room in rental unit,Private room,2,,1 shared bath,,,,6,29,6,6,1125,1125,t,0,0,0,0,2024-12-30,1,0,0,2023-06-09,2023-06-09,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,0,1,0
3200,3200,2024-12-30,2015-12-14,within a few hours,100%,97%,t,1,1,t,t,59.31772309744744,17.986733442327875,Entire home,Entire home/apt,4,1.0,1 bath,2.0,2.0,"$2,964.00",3,365,3,3,365,365,t,21,30,43,169,2024-12-30,59,43,4,2023-09-02,2024-12-19,5.0,4.98,4.98,4.97,5.0,4.95,4.9,,f,1,1,0,0
3400,3400,2024-12-30,2022-07-08,,,,f,1,1,f,t,59.32984993984628,17.943253031784767,Entire home,Entire home/apt,6,,2.5 baths,4.0,,,1,365,1,1,365,365,t,0,0,0,0,2024-12-30,1,1,0,2024-01-07,2024-01-07,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,f,1,1,0,0
3600,3600,2024-12-30,2022-08-25,within an hour,100%,97%,t,7,7,t,t,59.3429652,18.0643671,Entire rental unit,Entire home/apt,4,,2 baths,2.0,,,4,90,1,3,90,90,t,5,19,33,232,2024-12-30,37,36,3,2023-12-27,2024-12-15,4.81,4.95,4.81,4.95,4.92,4.95,4.84,,f,7,7,0,0
3800,3800,2024-12-30,2021-05-15,,,0%,f,1,2,t,t,59.34057,18.0882,Entire rental unit,Entire home/apt,2,1.5,1.5 baths,1.0,1.0,"$5,900.00",1,365,1,1,365,365,t,29,59,89,269,2024-12-30,0,0,0,,,,,,,,,,,f,1,1,0,0
4000,4000,2024-12-30,2024-03-30,within an hour,100%,100%,f,2,2,t,t,59.34776489999999,18.0371689,Entire rental unit,Entire home/apt,4,1.0,1 bath,2.0,2.0,"$2,500.00",1,1125,1,1,1125,1125,t,0,0,0,30,2024-12-30,4,4,0,2024-05-19,2024-10-17,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
4200,4200,2024-12-30,2017-04-08,,,50%,f,1,1,t,t,59.3647068,17.9065903,Entire home,Entire home/apt,2,1.0,1 bath,1.0,1.0,$840.00,1,365,1,1,365,365,t,0,0,29,29,2024-12-30,1,1,0,2024-05-19,2024-05-19,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
