,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
0,0,2024-12-30,2011-07-06,within an hour,100%,100%,t,2,2,t,t,59.31389,18.06087,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,2.0,$944.00,2,120,2,2,120,120,t,27,57,87,177,2024-12-30,430,30,1,2011-07-30,2024-12-09,4.86,4.87,4.79,4.95,4.97,4.84,4.76,,f,2,0,2,0
3,3,2024-12-30,2011-07-06,within an hour,100%,100%,t,2,2,t,t,59.31198,18.06076,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,$814.00,2,300,2,2,300,300,t,30,60,90,180,2024-12-30,414,24,1,2012-02-13,2024-12-01,4.9,4.88,4.84,4.96,4.98,4.89,4.84,,f,2,0,2,0
5,5,2024-12-30,2011-12-28,within a few hours,100%,98%,t,1,1,t,t,59.31846,18.07042,Entire rental unit,Entire home/apt,4,1.0,1 bath,0.0,2.0,"$1,190.00",2,30,2,2,1125,1125,t,0,0,0,165,2024-12-30,665,41,0,2013-06-16,2024-10-03,4.66,4.76,4.38,4.92,4.95,4.96,4.58,,f,1,1,0,0
13,13,2024-12-30,2011-08-03,within an hour,100%,89%,t,3,23,t,t,59.26424,18.02277,Private room in townhouse,Private room,1,2.0,2 shared baths,1.0,1.0,$350.00,1,150,1,1,150,150,t,30,60,90,365,2024-12-30,44,11,0,2012-06-01,2024-11-25,4.75,4.73,4.86,4.93,4.95,4.61,4.66,,f,3,1,1,1
21,21,2024-12-30,2012-06-26,within a few hours,80%,77%,t,5,8,t,t,59.33536,17.97669,Entire condo,Entire home/apt,4,1.0,1 bath,2.0,3.0,"$1,760.00",21,1125,21,21,1125,1125,t,0,0,7,93,2024-12-30,14,0,0,2012-07-28,2023-11-30,4.62,4.57,4.36,4.86,4.79,4.36,4.21,,f,3,3,0,0
23,23,2024-12-30,2012-06-26,within a few hours,80%,77%,t,5,8,t,t,59.33583,18.02983,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,$981.00,1,1125,1,1,1125,1125,t,28,58,82,236,2024-12-30,47,8,0,2015-10-10,2024-07-21,4.68,4.83,4.45,4.98,4.89,4.85,4.52,,f,3,3,0,0
24,24,2024-12-30,2012-07-07,within an hour,100%,100%,t,1,1,t,t,59.33894,18.0919,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,$470.00,1,30,1,1,1125,1125,t,19,22,22,22,2024-12-30,752,52,7,2012-07-15,2024-12-24,4.92,4.94,4.98,4.9,4.93,4.88,4.85,,t,1,0,1,0
29,29,2024-12-30,2012-09-12,within a few hours,100%,60%,t,2,2,t,t,59.34489,18.05216,Entire rental unit,Entire home/apt,4,1.0,1 bath,3.0,3.0,"$1,850.00",3,14,3,3,14,14,t,0,0,0,84,2024-12-30,102,2,0,2013-04-02,2024-08-05,4.94,4.91,4.94,4.88,4.94,4.79,4.75,,f,1,1,0,0
30,30,2024-12-30,2012-11-08,,,92%,t,1,1,t,f,59.32355,18.0698,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,,1,60,1,1,60,60,t,0,0,0,0,2024-12-30,54,10,0,2013-02-12,2024-09-01,4.91,4.93,4.94,4.98,5.0,4.98,4.85,,f,1,1,0,0
36,36,2024-12-30,2012-12-11,within an hour,100%,98%,t,3,5,t,t,59.33593,18.05542,Entire rental unit,Entire home/apt,6,1.0,1 bath,1.0,6.0,"$2,626.00",1,7,1,1,7,7,t,25,42,63,274,2024-12-30,84,11,0,2016-03-13,2024-11-10,4.64,4.64,4.65,4.79,4.79,4.88,4.69,,t,3,3,0,0
