,Unnamed: 0,host_since,host_response_rate,host_is_superhost,host_total_listings_count,host_identity_verified,longitude,room_type,bathrooms,bedrooms,price,maximum_nights,maximum_minimum_nights,maximum_maximum_nights,availability_30,availability_90,calendar_last_scraped,number_of_reviews_ltm,first_review,review_scores_rating,review_scores_cleanliness,review_scores_communication,review_scores_value,instant_bookable,calculated_host_listings_count_entire_homes,calculated_host_listings_count_shared_rooms
0,0,2011-07-06,100%,t,2,t,18.06087,Private room,1.0,1.0,$944.00,120,2,120,27,87,2024-12-30,30,2011-07-30,4.86,4.79,4.97,4.76,f,0,0
1,1,2011-02-27,100%,f,4,t,18.03693,Private room,1.0,1.0,$414.00,20,2,20,25,85,2024-12-30,1,2011-09-29,4.68,4.63,4.88,4.7,f,1,0
2,2,2011-10-05,100%,f,1,t,18.05131,Entire home/apt,1.0,1.0,"$1,320.00",60,1,60,28,88,2024-12-30,0,2011-11-28,4.79,4.71,4.95,4.64,f,1,0
3,3,2011-07-06,100%,t,2,t,18.06076,Private room,1.0,1.0,$814.00,300,2,300,30,90,2024-12-30,24,2012-02-13,4.9,4.84,4.98,4.84,f,0,0
4,4,2011-11-22,100%,f,3,t,18.10771,Entire home/apt,2.0,3.0,"$2,750.00",30,6,30,2,2,2024-12-30,0,2012-07-19,5.0,5.0,4.75,5.0,f,2,0
5,5,2011-12-28,100%,t,1,t,18.07042,Entire home/apt,1.0,0.0,"$1,190.00",30,2,1125,0,0,2024-12-30,41,2013-06-16,4.66,4.38,4.95,4.58,f,1,0
6,6,2011-10-22,100%,f,20,t,17.99521,Entire home/apt,,1.0,,1125,3,1125,17,35,2024-12-30,10,2012-02-21,4.47,4.4,4.71,4.42,t,1,0
7,7,2012-01-01,67%,f,2,t,17.99165,Private room,1.0,1.0,$750.00,1125,1,1125,30,90,2024-12-30,5,2012-07-09,4.63,4.7,4.59,4.59,f,1,0
8,8,2012-01-02,100%,f,3,t,18.06056,Entire home/apt,1.5,3.0,"$4,300.00",60,5,60,27,82,2024-12-30,5,2012-06-18,4.97,4.8,4.98,4.87,f,1,0
9,9,2011-12-25,,f,4,t,18.0493,Entire home/apt,1.0,1.0,$900.00,180,80,180,27,87,2024-12-30,0,2012-06-04,4.9,4.8,4.94,4.73,f,1,0
10,10,2012-01-29,,f,1,t,18.09072,Entire home/apt,1.0,1.0,"$1,400.00",14,3,14,5,5,2024-12-30,5,2012-02-12,4.88,4.69,4.88,4.8,f,1,0
