,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
1,1,2024-12-30,2011-02-27,within a day,100.0,15%,f,2,4,t,t,59.33351,18.03693,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,414.0,2,20,2,2,20,20,t,25,55,85,360,2024-12-30,64,1,0,2011-09-29,2024-08-30,4.68,4.7,4.63,4.87,4.88,4.81,4.7,,f,2,1,1,0
2,2,2024-12-30,2011-10-05,within a few hours,100.0,0%,f,1,1,t,t,59.33872,18.05131,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,1320.0,1,60,1,1,60,60,t,28,58,88,88,2024-12-30,110,0,0,2011-11-28,2016-12-13,4.79,4.65,4.71,4.85,4.95,4.85,4.64,,f,1,1,0,0
4,4,2024-12-30,2011-11-22,within a few hours,100.0,100%,f,3,3,t,t,59.30543,18.10771,Entire rental unit,Entire home/apt,4,2.0,2 baths,3.0,3.0,2750.0,6,30,6,6,30,30,t,2,2,2,9,2024-12-30,4,0,0,2012-07-19,2017-07-31,5.0,5.0,5.0,5.0,4.75,5.0,5.0,,f,2,2,0,0
6,6,2024-12-30,2011-10-22,within an hour,100.0,100%,f,1,20,t,t,59.30318,17.99521,Entire rental unit,Entire home/apt,4,,1.5 baths,1.0,,,3,1125,3,3,1125,1125,t,17,35,35,236,2024-12-30,68,10,0,2012-02-21,2024-09-21,4.47,4.38,4.4,4.67,4.71,4.38,4.42,,t,1,1,0,0
8,8,2024-12-30,2012-01-02,within a day,100.0,41%,f,2,3,t,t,59.34685,18.06056,Entire rental unit,Entire home/apt,4,1.5,1.5 baths,3.0,4.0,4300.0,5,60,5,5,60,60,t,27,56,82,325,2024-12-30,97,5,0,2012-06-18,2024-09-03,4.97,4.92,4.8,4.97,4.98,4.98,4.87,,f,1,1,0,0
11,11,2024-12-30,2011-06-26,within an hour,100.0,100%,f,1,3,t,t,59.24656,18.17775,Entire guesthouse,Entire home/apt,1,1.0,1 bath,1.0,1.0,360.0,1,1125,1,1,1125,1125,t,27,57,87,177,2024-12-30,25,6,1,2012-05-08,2024-12-03,4.19,4.08,4.17,4.54,4.63,4.17,4.0,,f,1,1,0,0
14,14,2024-12-30,2012-04-23,within an hour,100.0,100%,f,1,1,t,t,59.31041093355452,18.02404045094815,Private room in rental unit,Private room,1,,1 shared bath,,,,3,25,3,3,25,25,t,0,0,0,0,2024-12-30,100,0,0,2012-05-10,2023-11-18,4.64,4.77,4.58,4.84,4.85,4.66,4.5,,f,1,0,1,0
20,20,2024-12-30,2012-06-25,within an hour,100.0,100%,f,1,1,t,t,59.34171,18.03712,Entire loft,Entire home/apt,3,1.5,1.5 baths,0.0,2.0,1000.0,4,50,3,5,50,50,t,8,8,8,8,2024-12-30,43,2,0,2015-05-14,2024-01-15,4.63,4.7,4.47,4.7,4.74,4.91,4.47,,f,1,1,0,0
25,25,2024-12-30,2012-03-02,within a few hours,100.0,83%,f,1,1,t,t,59.292661,18.11225,Entire condo,Entire home/apt,4,1.0,1 bath,2.0,3.0,552.0,14,1125,14,14,1125,1125,t,0,0,0,22,2024-12-30,12,2,0,2012-12-09,2024-08-12,5.0,5.0,4.92,5.0,5.0,4.83,4.92,,f,1,1,0,0
26,26,2024-12-30,2012-05-17,within a few hours,100.0,21%,f,1,1,t,t,59.31414,18.08102,Entire rental unit,Entire home/apt,2,,1 bath,1.0,,,2,2,2,2,2,2,t,0,0,0,0,2024-12-30,104,2,0,2012-11-19,2024-06-30,4.83,4.89,4.9,4.86,4.88,4.95,4.75,,f,1,1,0,0
27,27,2024-12-30,2012-10-21,within an hour,100.0,100%,f,1,1,t,f,59.31544,18.0755,Entire condo,Entire home/apt,2,1.0,1 bath,2.0,3.0,1250.0,75,270,60,75,270,270,t,5,5,5,95,2024-12-30,18,0,0,2013-08-19,2021-06-04,4.78,4.67,4.67,4.94,5.0,5.0,4.61,,f,1,1,0,0
28,28,2024-12-30,2012-10-26,within a few hours,100.0,79%,f,1,1,t,t,59.32881,18.03559,Entire rental unit,Entire home/apt,4,2.0,2 baths,1.0,4.0,1549.0,2,1125,2,2,1125,1125,t,18,48,74,307,2024-12-30,213,40,3,2015-12-01,2024-12-15,4.77,4.84,4.42,4.97,4.96,4.93,4.77,,f,1,1,0,0
31,31,2024-12-30,2012-10-24,within an hour,100.0,0%,f,1,1,t,t,59.34353,18.05081,Entire loft,Entire home/apt,2,1.0,1 bath,1.0,1.0,1800.0,5,15,5,5,15,15,t,0,0,0,27,2024-12-30,20,0,0,2013-02-26,2018-10-09,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
32,32,2024-12-30,2012-11-13,within a day,100.0,86%,f,1,1,t,t,59.32142,17.99469,Entire home,Entire home/apt,6,1.0,1 bath,3.0,6.0,1700.0,5,1125,3,5,1125,1125,t,0,0,0,27,2024-12-30,28,6,0,2013-07-16,2024-08-08,4.96,4.93,5.0,4.89,4.93,4.64,4.86,,f,1,1,0,0
35,35,2024-12-30,2012-12-04,within an hour,100.0,75%,f,1,4,t,t,59.29788,17.98505,Entire rental unit,Entire home/apt,6,1.5,1.5 baths,2.0,3.0,1843.0,3,30,3,3,30,30,t,0,6,9,9,2024-12-30,50,3,0,2013-03-26,2024-10-31,4.84,4.8,4.84,4.88,4.98,4.7,4.68,,f,1,1,0,0
41,41,2024-12-30,2011-07-05,within a day,100.0,13%,f,1,1,t,t,59.307583,18.080265,Entire rental unit,Entire home/apt,3,1.0,1 bath,1.0,1.0,1320.0,5,20,5,5,20,20,t,23,53,83,353,2024-12-30,54,1,0,2013-02-06,2024-09-09,4.83,4.8,4.65,4.9,4.94,4.92,4.69,,f,1,1,0,0
43,43,2024-12-30,2013-01-24,within an hour,100.0,100%,f,1,1,t,f,59.28674,18.0953,Private room in condo,Private room,2,1.0,1 shared bath,1.0,1.0,873.0,1,30,1,1,30,30,t,23,50,80,80,2024-12-30,33,1,0,2016-05-15,2024-05-31,5.0,4.94,4.79,4.94,4.94,5.0,4.85,,f,1,0,1,0
44,44,2024-12-30,2013-01-31,within a few hours,100.0,98%,f,2,2,t,t,59.27977,17.89568,Entire guesthouse,Entire home/apt,4,1.0,1 bath,1.0,1.0,790.0,3,365,3,3,1125,1125,t,0,0,29,276,2024-12-30,338,10,0,2013-03-25,2024-11-15,4.47,4.62,4.63,4.8,4.81,4.41,4.56,,f,2,2,0,0
51,51,2024-12-30,2013-05-01,within an hour,100.0,75%,f,1,1,t,t,59.32769,18.0365,Entire rental unit,Entire home/apt,3,1.5,1.5 baths,1.0,1.0,1800.0,2,20,3,4,20,20,t,23,53,83,168,2024-12-30,33,1,0,2013-06-13,2024-05-19,4.85,4.91,4.91,4.87,4.97,4.94,4.68,,f,1,1,0,0
56,56,2024-12-30,2013-05-15,within a day,100.0,44%,f,3,3,t,t,59.28332,18.04978,Entire home,Entire home/apt,6,2.0,2 baths,4.0,4.0,1800.0,3,1125,3,3,1125,1125,t,26,56,86,352,2024-12-30,13,5,0,2013-07-28,2024-07-28,5.0,5.0,4.69,4.85,4.92,4.85,4.85,,f,2,1,1,0
61,61,2024-12-30,2013-05-06,within an hour,100.0,95%,f,1,1,t,t,59.28009,18.06047,Entire home,Entire home/apt,6,2.0,2 baths,3.0,3.0,3786.0,3,60,1,3,1125,1125,t,30,60,86,250,2024-12-30,101,10,1,2014-03-12,2024-12-10,4.75,4.78,4.48,4.85,4.96,4.83,4.59,,f,1,1,0,0
66,66,2024-12-30,2013-06-12,within an hour,100.0,0%,f,1,1,t,t,59.34607,18.06306,Entire rental unit,Entire home/apt,4,2.0,2 baths,2.0,4.0,2200.0,14,90,14,14,90,90,t,10,17,21,204,2024-12-30,12,0,0,2015-08-02,2023-08-13,4.83,5.0,4.83,5.0,5.0,5.0,4.83,,f,1,1,0,0
