,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
4,4,2024-12-30,2011-11-22,within a few hours,100.0,100%,f,3,3,t,t,59.30543,18.10771,Entire rental unit,Entire home/apt,4,2.0,2 baths,3.0,3.0,"$2,750.00",6,30,6,6,30,30,t,2,2,2,9,2024-12-30,4,0,0,2012-07-19,2017-07-31,5.0,5.0,5.0,5.0,4.75,5.0,5.0,,f,2,2,0,0
6,6,2024-12-30,2011-10-22,within an hour,100.0,100%,f,1,20,t,t,59.30318,17.99521,Entire rental unit,Entire home/apt,4,,1.5 baths,1.0,,,3,1125,3,3,1125,1125,t,17,35,35,236,2024-12-30,68,10,0,2012-02-21,2024-09-21,4.47,4.38,4.4,4.67,4.71,4.38,4.42,,t,1,1,0,0
8,8,2024-12-30,2012-01-02,within a day,100.0,41%,f,2,3,t,t,59.34685,18.06056,Entire rental unit,Entire home/apt,4,1.5,1.5 baths,3.0,4.0,"$4,300.00",5,60,5,5,60,60,t,27,56,82,325,2024-12-30,97,5,0,2012-06-18,2024-09-03,4.97,4.92,4.8,4.97,4.98,4.98,4.87,,f,1,1,0,0
12,12,2024-12-30,2012-03-15,,,33%,f,1,1,t,f,59.25094,18.09676,Entire townhouse,Entire home/apt,6,,1.5 baths,4.0,,,8,45,8,8,45,45,t,0,0,0,0,2024-12-30,9,1,0,2015-07-06,2024-07-31,4.22,4.44,3.78,4.75,4.75,4.25,4.25,,f,1,1,0,0
13,13,2024-12-30,2011-08-03,within an hour,100.0,89%,t,3,23,t,t,59.26424,18.02277,Private room in townhouse,Private room,1,2.0,2 shared baths,1.0,1.0,$350.00,1,150,1,1,150,150,t,30,60,90,365,2024-12-30,44,11,0,2012-06-01,2024-11-25,4.75,4.73,4.86,4.93,4.95,4.61,4.66,,f,3,1,1,1
14,14,2024-12-30,2012-04-23,within an hour,100.0,100%,f,1,1,t,t,59.31041093355452,18.02404045094815,Private room in rental unit,Private room,1,,1 shared bath,,,,3,25,3,3,25,25,t,0,0,0,0,2024-12-30,100,0,0,2012-05-10,2023-11-18,4.64,4.77,4.58,4.84,4.85,4.66,4.5,,f,1,0,1,0
17,17,2024-12-30,2012-02-15,,,50%,f,1,2,t,t,59.30177,17.99189,Entire condo,Entire home/apt,3,2.0,2 baths,2.0,3.0,"$1,399.00",4,180,4,4,180,180,t,9,39,69,159,2024-12-30,33,2,0,2013-05-13,2024-08-25,4.7,4.77,4.59,4.9,4.9,4.61,4.61,,f,1,1,0,0
18,18,2024-12-30,2012-06-13,,,,f,1,8,t,f,59.34412,18.08957,Private room in rental unit,Private room,2,,Shared half-bath,,,,10,90,10,10,90,90,,0,0,0,0,2024-12-30,105,0,0,2012-06-20,2018-08-08,4.78,4.83,4.73,4.86,4.9,4.72,4.7,,f,1,0,1,0
19,19,2024-12-30,2012-06-16,a few days or more,0.0,50%,f,1,1,t,t,59.2783119,18.1181517,Entire villa,Entire home/apt,6,2.5,2.5 baths,3.0,3.0,"$2,700.00",6,365,6,6,365,365,t,3,30,60,329,2024-12-30,4,2,0,2023-07-28,2024-08-14,5.0,5.0,5.0,5.0,5.0,5.0,4.75,,f,1,1,0,0
20,20,2024-12-30,2012-06-25,within an hour,100.0,100%,f,1,1,t,t,59.34171,18.03712,Entire loft,Entire home/apt,3,1.5,1.5 baths,0.0,2.0,"$1,000.00",4,50,3,5,50,50,t,8,8,8,8,2024-12-30,43,2,0,2015-05-14,2024-01-15,4.63,4.7,4.47,4.7,4.74,4.91,4.47,,f,1,1,0,0
