,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
596,596,2024-12-30,2011-08-01,within a day,90.0,54%,f,7,19,t,t,59.39358,17.91671,Private room in home,Private room,1,1.0,1 shared bath,1.0,1.0,200.0,90,1125,39,90,1125,1125,t,3,3,3,171,2024-12-30,11,3,0,2017-06-29,2024-06-20,4.73,4.82,4.36,4.73,4.73,4.27,4.55,,f,7,1,6,0
617,617,2024-12-30,2011-08-01,within a day,90.0,54%,f,7,19,t,t,59.39367,17.91803,Private room in home,Private room,1,2.5,2.5 shared baths,1.0,1.0,200.0,5,1125,5,5,1125,1125,t,0,1,1,206,2024-12-30,10,1,0,2017-01-07,2024-07-26,4.7,4.4,4.1,4.5,4.5,4.0,4.5,,f,7,1,6,0
829,829,2024-12-30,2011-08-01,within a day,90.0,54%,f,7,19,t,t,59.39157,17.91708,Private room in home,Private room,1,2.5,2.5 shared baths,1.0,1.0,200.0,120,1125,120,120,1125,1125,t,2,2,2,184,2024-12-30,10,2,0,2020-06-30,2024-02-25,4.9,4.9,4.0,4.9,5.0,4.2,4.8,,f,7,1,6,0
1532,1532,2024-12-30,2020-01-21,,,,f,1,1,t,f,59.38088,17.83881,Private room in rental unit,Private room,1,1.0,1 bath,1.0,,200.0,180,1125,180,180,1125,1125,t,30,60,90,365,2024-12-30,0,0,0,,,,,,,,,,,t,1,0,1,0
1639,1639,2024-12-30,2020-08-06,a few days or more,20.0,0%,f,4,4,t,t,59.32995,17.96978,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,0.0,200.0,30,1125,30,30,1125,1125,t,0,0,0,244,2024-12-30,2,0,0,2020-11-02,2021-07-04,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,3,2,1,0
2356,2356,2024-12-30,2011-08-01,within a day,90.0,54%,f,7,19,t,t,59.39359,17.91673,Private room in townhouse,Private room,1,2.5,2.5 shared baths,1.0,1.0,200.0,12,1125,12,12,1125,1125,t,5,5,6,281,2024-12-30,9,6,0,2023-01-21,2024-09-22,4.78,4.78,3.78,4.78,4.78,4.11,4.67,,f,7,1,6,0
2372,2372,2024-12-30,2022-03-24,a few days or more,0.0,0%,f,1,1,t,t,59.3174,18.04938,Entire condo,Entire home/apt,1,1.0,1 bath,1.0,1.0,190.0,69,365,69,69,365,365,t,1,1,18,293,2024-12-30,4,0,0,2022-08-16,2022-09-28,4.75,4.75,4.25,5.0,5.0,5.0,4.75,,f,1,1,0,0
2556,2556,2024-12-30,2014-01-17,within a day,80.0,67%,f,2,5,t,t,59.36838,17.84273,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,180.0,7,365,7,7,365,365,t,0,0,0,212,2024-12-30,2,1,0,2023-01-18,2024-08-31,5.0,5.0,5.0,5.0,5.0,3.0,5.0,,f,2,0,2,0
2558,2558,2024-12-30,2014-01-17,within a day,80.0,67%,f,2,5,t,t,59.36967001631103,17.843430672841855,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,180.0,7,365,7,7,365,365,t,28,58,88,363,2024-12-30,3,1,0,2023-01-21,2024-08-08,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,f,2,0,2,0
2591,2591,2024-12-30,2022-12-29,a few days or more,25.0,0%,f,1,1,f,t,59.28687121227277,17.967848784723174,Private room in rental unit,Private room,1,1.0,1 private bath,1.0,1.0,105.0,1,365,1,1,365,365,t,15,45,75,346,2024-12-30,0,0,0,,,,,,,,,,,f,1,0,1,0
4231,4231,2024-12-30,2018-03-14,within an hour,60.0,22%,f,2,3,t,t,59.38961,17.92193,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,160.0,1,365,1,1,365,365,t,9,39,62,242,2024-12-30,1,1,0,2024-05-19,2024-05-19,5.0,5.0,5.0,5.0,5.0,4.0,4.0,,f,2,0,2,0
4674,4674,2024-12-30,2021-03-26,within a day,100.0,50%,f,1,1,t,t,59.3963366,17.9417473,Private room in rental unit,Private room,1,1.0,1 private bath,2.0,2.0,200.0,60,365,60,60,365,365,t,0,14,14,227,2024-12-30,1,1,0,2024-07-16,2024-07-16,5.0,5.0,5.0,5.0,5.0,4.0,5.0,,f,1,0,1,0
4878,4878,2024-12-30,2023-02-07,a few days or more,30.0,36%,f,1,3,t,t,59.383637516932914,17.93455433078123,Private room in rental unit,Private room,1,1.0,1 bath,1.0,1.0,200.0,7,365,7,7,365,365,t,30,60,90,365,2024-12-30,0,0,0,,,,,,,,,,,f,1,0,1,0
4938,4938,2024-12-30,2014-02-26,within a day,100.0,33%,f,1,2,t,t,59.30051696986508,18.097959916787627,Entire condo,Entire home/apt,2,1.0,1 bath,1.0,2.0,200.0,8,45,6,20,45,45,t,6,6,6,92,2024-12-30,1,1,0,2024-11-02,2024-11-02,5.0,5.0,4.0,5.0,5.0,5.0,5.0,,f,1,1,0,0
