,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
6,6,2024-12-30,2011-10-22,within an hour,100.0,100%,f,1,20,t,t,59.30318,17.99521,Entire rental unit,Entire home/apt,4,,1.5 baths,1.0,,,3,1125,3,3,1125,1125,t,17,35,35,236,2024-12-30,68,10,0,2012-02-21,2024-09-21,4.47,4.38,4.4,4.67,4.71,4.38,4.42,,t,1,1,0,0
24,24,2024-12-30,2012-07-07,within an hour,100.0,100%,t,1,1,t,t,59.33894,18.0919,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,470.0,1,30,1,1,1125,1125,t,19,22,22,22,2024-12-30,752,52,7,2012-07-15,2024-12-24,4.92,4.94,4.98,4.9,4.93,4.88,4.85,,t,1,0,1,0
36,36,2024-12-30,2012-12-11,within an hour,100.0,98%,t,3,5,t,t,59.33593,18.05542,Entire rental unit,Entire home/apt,6,1.0,1 bath,1.0,6.0,2626.0,1,7,1,1,7,7,t,25,42,63,274,2024-12-30,84,11,0,2016-03-13,2024-11-10,4.64,4.64,4.65,4.79,4.79,4.88,4.69,,t,3,3,0,0
81,81,2024-12-30,2013-08-20,,,,f,1,1,t,t,59.2846,18.09112,Entire home,Entire home/apt,5,,1.5 baths,2.0,,,4,1125,4,4,1125,1125,t,0,0,0,0,2024-12-30,16,0,0,2014-06-02,2019-07-23,4.88,4.88,5.0,5.0,5.0,4.88,4.88,,t,1,1,0,0
84,84,2024-12-30,2013-07-03,within an hour,100.0,100%,f,1,2,t,t,59.32443,18.07014,Entire rental unit,Entire home/apt,4,1.0,1 bath,1.0,1.0,1686.0,3,1125,3,3,1125,1125,t,27,30,30,95,2024-12-30,263,42,1,2015-09-29,2024-12-13,4.58,4.71,4.61,4.87,4.85,4.92,4.53,,t,1,1,0,0
91,91,2024-12-30,2013-10-03,within an hour,100.0,100%,t,1,1,t,t,59.31873252935418,18.06506834512685,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,950.0,3,30,1,3,1125,1125,t,24,54,75,337,2024-12-30,296,42,2,2015-07-03,2024-12-17,4.88,4.9,4.64,4.91,4.96,4.95,4.81,,t,1,0,1,0
106,106,2024-12-30,2013-11-20,,,100%,f,1,1,t,t,59.34772,18.06245,Entire rental unit,Entire home/apt,4,,1 bath,2.0,,,7,1125,7,7,1125,1125,t,0,0,0,0,2024-12-30,12,1,0,2014-04-30,2024-08-13,5.0,5.0,5.0,5.0,5.0,4.75,5.0,,t,1,1,0,0
152,152,2024-12-30,2012-12-11,within an hour,100.0,98%,t,3,5,t,t,59.33595,18.05487,Entire rental unit,Entire home/apt,8,1.0,1 bath,1.0,8.0,3026.0,1,1125,1,1,7,7,t,0,0,0,146,2024-12-30,93,4,0,2014-10-16,2024-02-18,4.62,4.7,4.52,4.75,4.72,4.9,4.66,,t,3,3,0,0
155,155,2024-12-30,2013-12-18,within an hour,100.0,99%,t,3,3,t,t,59.32381,18.07134,Entire rental unit,Entire home/apt,2,1.0,1 bath,1.0,2.0,1533.0,2,30,2,2,30,30,t,1,19,37,228,2024-12-30,156,37,1,2018-05-25,2024-12-09,4.92,4.93,4.95,4.97,4.97,4.92,4.81,,t,3,3,0,0
163,163,2024-12-30,2014-05-04,,,,f,1,3,t,t,59.30581,18.02852,Entire rental unit,Entire home/apt,5,,1 bath,3.0,,,4,14,4,4,14,14,t,0,0,0,0,2024-12-30,5,0,0,2014-08-12,2019-08-06,5.0,5.0,5.0,5.0,4.75,5.0,4.5,,t,1,1,0,0
