,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
0,0,2024-12-30,2011-07-06,within an hour,100.0,100%,t,2,2,t,t,59.31389,18.06087,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,2.0,944.0,2,120,2,2,120,120,t,27,57,87,177,2024-12-30,430,30,1,2011-07-30,2024-12-09,4.86,4.87,4.79,4.95,4.97,4.84,4.76,,f,2,0,2,0
1,1,2024-12-30,2011-02-27,within a day,100.0,15%,f,2,4,t,t,59.33351,18.03693,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,414.0,2,20,2,2,20,20,t,25,55,85,360,2024-12-30,64,1,0,2011-09-29,2024-08-30,4.68,4.7,4.63,4.87,4.88,4.81,4.7,,f,2,1,1,0
3,3,2024-12-30,2011-07-06,within an hour,100.0,100%,t,2,2,t,t,59.31198,18.06076,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,814.0,2,300,2,2,300,300,t,30,60,90,180,2024-12-30,414,24,1,2012-02-13,2024-12-01,4.9,4.88,4.84,4.96,4.98,4.89,4.84,,f,2,0,2,0
7,7,2024-12-30,2012-01-01,within a few hours,67.0,56%,f,2,2,t,t,59.27635,17.99165,Private room in home,Private room,2,1.0,1 shared bath,1.0,1.0,750.0,1,1125,1,1,1125,1125,t,30,60,90,365,2024-12-30,38,5,0,2012-07-09,2024-11-06,4.63,4.49,4.7,4.7,4.59,4.46,4.59,,f,2,1,1,0
13,13,2024-12-30,2011-08-03,within an hour,100.0,89%,t,3,23,t,t,59.26424,18.02277,Private room in townhouse,Private room,1,2.0,2 shared baths,1.0,1.0,350.0,1,150,1,1,150,150,t,30,60,90,365,2024-12-30,44,11,0,2012-06-01,2024-11-25,4.75,4.73,4.86,4.93,4.95,4.61,4.66,,f,3,1,1,1
14,14,2024-12-30,2012-04-23,within an hour,100.0,100%,f,1,1,t,t,59.31041093355452,18.02404045094815,Private room in rental unit,Private room,1,,1 shared bath,,,,3,25,3,3,25,25,t,0,0,0,0,2024-12-30,100,0,0,2012-05-10,2023-11-18,4.64,4.77,4.58,4.84,4.85,4.66,4.5,,f,1,0,1,0
16,16,2024-12-30,2012-05-12,,,0%,f,1,1,t,t,59.31412,18.08274,Private room in rental unit,Private room,1,1.0,1 shared bath,1.0,1.0,523.0,3,7,3,3,7,7,t,0,0,0,29,2024-12-30,41,0,0,2012-05-20,2017-06-29,4.54,4.37,4.63,4.71,4.8,4.76,4.41,,f,1,0,1,0
18,18,2024-12-30,2012-06-13,,,,f,1,8,t,f,59.34412,18.08957,Private room in rental unit,Private room,2,,Shared half-bath,,,,10,90,10,10,90,90,,0,0,0,0,2024-12-30,105,0,0,2012-06-20,2018-08-08,4.78,4.83,4.73,4.86,4.9,4.72,4.7,,f,1,0,1,0
24,24,2024-12-30,2012-07-07,within an hour,100.0,100%,t,1,1,t,t,59.33894,18.0919,Private room in rental unit,Private room,2,1.0,1 shared bath,1.0,1.0,470.0,1,30,1,1,1125,1125,t,19,22,22,22,2024-12-30,752,52,7,2012-07-15,2024-12-24,4.92,4.94,4.98,4.9,4.93,4.88,4.85,,t,1,0,1,0
37,37,2024-12-30,2012-12-12,within an hour,100.0,86%,t,1,1,t,t,59.33633,18.03002,Private room in rental unit,Private room,2,1.5,1.5 shared baths,1.0,1.0,890.0,4,5,4,4,1125,1125,t,28,58,66,323,2024-12-30,133,11,0,2013-06-17,2024-11-05,4.91,4.9,4.88,4.92,4.93,4.81,4.81,,f,1,0,1,0
