,Unnamed: 0,last_scraped,host_since,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,calendar_last_scraped,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms
12,12,2024-12-30,2012-03-15,,,33%,f,1,1,t,f,59.25094,18.09676,Entire townhouse,Entire home/apt,6,,1.5 baths,4.0,,,8,45,8,8,45,45,t,0,0,0,0,2024-12-30,9,1,0,2015-07-06,2024-07-31,4.22,4.44,3.78,4.75,4.75,4.25,4.25,,f,1,1,0,0
19,19,2024-12-30,2012-06-16,a few days or more,0.0,50%,f,1,1,t,t,59.2783119,18.1181517,Entire villa,Entire home/apt,6,2.5,2.5 baths,3.0,3.0,2700.0,6,365,6,6,365,365,t,3,30,60,329,2024-12-30,4,2,0,2023-07-28,2024-08-14,5.0,5.0,5.0,5.0,5.0,5.0,4.75,,f,1,1,0,0
22,22,2024-12-30,2012-06-29,,,100%,f,1,1,t,t,59.31711,18.00519,Entire villa,Entire home/apt,6,2.0,2 baths,3.0,4.0,4245.0,4,20,4,4,20,20,t,0,2,2,36,2024-12-30,29,4,0,2013-08-06,2024-07-21,4.79,4.77,4.92,4.92,4.88,4.69,4.69,,f,1,1,0,0
32,32,2024-12-30,2012-11-13,within a day,100.0,86%,f,1,1,t,t,59.32142,17.99469,Entire home,Entire home/apt,6,1.0,1 bath,3.0,6.0,1700.0,5,1125,3,5,1125,1125,t,0,0,0,27,2024-12-30,28,6,0,2013-07-16,2024-08-08,4.96,4.93,5.0,4.89,4.93,4.64,4.86,,f,1,1,0,0
35,35,2024-12-30,2012-12-04,within an hour,100.0,75%,f,1,4,t,t,59.29788,17.98505,Entire rental unit,Entire home/apt,6,1.5,1.5 baths,2.0,3.0,1843.0,3,30,3,3,30,30,t,0,6,9,9,2024-12-30,50,3,0,2013-03-26,2024-10-31,4.84,4.8,4.84,4.88,4.98,4.7,4.68,,f,1,1,0,0
36,36,2024-12-30,2012-12-11,within an hour,100.0,98%,t,3,5,t,t,59.33593,18.05542,Entire rental unit,Entire home/apt,6,1.0,1 bath,1.0,6.0,2626.0,1,7,1,1,7,7,t,25,42,63,274,2024-12-30,84,11,0,2016-03-13,2024-11-10,4.64,4.64,4.65,4.79,4.79,4.88,4.69,,t,3,3,0,0
48,48,2024-12-30,2013-04-07,within an hour,100.0,100%,t,2,3,t,t,59.27347,17.958,Entire rental unit,Entire home/apt,6,1.0,1 bath,2.0,5.0,921.0,2,120,2,2,1125,1125,t,29,59,89,353,2024-12-30,219,29,1,2015-02-08,2024-12-09,4.83,4.89,4.86,4.97,4.98,4.72,4.72,,f,1,1,0,0
52,52,2024-12-30,2013-05-10,within an hour,100.0,100%,t,1,1,t,t,59.34453,18.08507,Entire rental unit,Entire home/apt,5,1.5,1.5 baths,3.0,5.0,3300.0,6,1125,6,6,1125,1125,t,25,55,85,343,2024-12-30,170,12,0,2013-06-17,2024-11-02,4.87,4.85,4.66,4.98,4.97,4.89,4.71,,f,1,1,0,0
53,53,2024-12-30,2012-03-31,within an hour,100.0,100%,t,1,1,t,t,59.2932,17.95069,Entire home,Entire home/apt,9,1.5,1.5 baths,4.0,6.0,3683.0,3,1125,3,3,1125,1125,t,25,55,85,341,2024-12-30,113,9,0,2014-04-22,2024-08-31,4.97,4.97,4.94,4.99,4.97,4.67,4.89,,f,1,1,0,0
56,56,2024-12-30,2013-05-15,within a day,100.0,44%,f,3,3,t,t,59.28332,18.04978,Entire home,Entire home/apt,6,2.0,2 baths,4.0,4.0,1800.0,3,1125,3,3,1125,1125,t,26,56,86,352,2024-12-30,13,5,0,2013-07-28,2024-07-28,5.0,5.0,4.69,4.85,4.92,4.85,4.85,,f,2,1,1,0
